Organization Name,Description,Can Help or Need Help?,Type,Location,In Need Of,Can Help with,Website,Email Address,Phone,WhatsApp Number,Haiti Address,US Address,Which department?,Which Arrondissement?,Which Commune/municipality?,"Facebook Page, URL",Instagram,Twitter,Any Additional Information?
"Association of Haitian Physicians Abroad (AMHE),","Founded in August 1972, by a group of Haitian physicians determined to mark their presence as a growing ethnic entity in America, to foster professional alliances, and to promote the health and interest of the Haitian immigrant community at large.","Organization in Haiti, that can help",Health / Medical,This organization is NOT in Haiti,,Coordination with Ministry of Public Health and Civil Protection.,http://amhe.org/,mdbruno@amhecec.org,'+1(718)245-1015,,"Collaborating with the Ministry of Public Health
Ministère de la Santé Publique et de la Population
1, Angle Avenue Maïs Gaté et, Rue Jacques Roumain, Port-au-Prince","AMHE Headquarters
1166 Eastern Parkway
2nd Floor
Brooklynn, NY 11213
Tel: 718 245-1015",,,,https://www.facebook.com/AMHE-1406066426317516,,,
Ayiti Community Trust,"Earlier this morning on August 14, 2021, a 7.2 magnitude earthquake struck the southern peninsula of Ayiti. We are closely monitoring the situation with community partners on the ground. We encourage those who are interested in supporting relief efforts to make contributions to the Ayiti Community Trust's Earthquake Relief Fund.

Consistent with our mission, we will ensure that the contributions are channeled to local Haitian-led organizations in Ayiti. We thank you for standing in solidarity with the people of Ayiti at this very difficult time.

About Ayiti Community Trust
Ayiti Community Trust's (ACT) mission is to support and sustain development innovation in Ayiti in the areas of civic education, environment, and entrepreneurship. For more information on ACT, please visit www.AyitiCommuntyTrust.org","Organization in Haiti, in need",,This organization is IN Haiti,Contributions to its relief fund: https://www.classy.org/campaign/earthquake-relief-fund/c352932.,,ayiticommunitytrust.org,development@ayiticommunitytrust.org,1(888) 814-1804,,,"685 NE 126th Street
North Miami, Florida 33161 US",,,,,,,
Ayiti Solutions ,Earth-Friendly Solutions For Ayiti,"Organization in Haiti, that can help",Food,This organization is NOT in Haiti,,With supplying and delivering fresh coconuts at aid sites. ,https://www.ayitisolutions.org/kokoye,info@ayitisolutions.org,(754) 237-8154,(754) 237-8154,"216 route de l'aéroport
Les Cayes, Haïti","Clearwater, Florida",Sud,Les Cayes,Pestel,,@ayitisolutions,,"The benefits of coconuts are unlimited, however we can all agree on four of them that are essential for a human”s to survive and thrive : 1) it provides fresh sweet water and this water is rich in electrolytes which are minerals that produces electrical charges  when dissolved in the blood . These electric charges regulates fluid balance such as blood pressure, muscle contraction (heart includes) and Ph balance. 
2) After enjoying the sweet coconut water, is time to enjoy the meat which is some of the water form already turned solid after the coconut as reach an age of maturity . Therefore, younger coconut mostly contains water and a jelly type of meat mostly water than solid. In addition, this meat is not all taste it”s also rich in key minerals such as manganese, copper, zinc, iron , potassium, phosphorus, selenium. It’s the richest in manganese which supports enzyme function and fat metabolism. Also, it is rich in copper which is key for bone formation and the health of the heart.  Also, did that click in to that old saying that coconut washes the heart. 
3) Now after reading the first and the second benefits of coconuts stated above. We can see why this claim made by youngcoconuts.com that coconuts are identical to the blood stream are not far Fetched, especially with old folk tales saying coconuts were used as Iv for dehydrated soldiers. However, one doctor named Graber at the university of Iowa claimed that coconut is not the ideal optimal iv response for dehydration. Also, other doctors claimed they used for oral rehydration therapy with their patients.
4) Once done with the fresh water and the tasty coconut meat. It’s time to disposed of it without worries it will cause harm to nature or turned in to a tool: create the shell into plates , planting pots or etc…  Also, the coconut husk can be  converted into rope with due process giving it”s dry enough.

So, now you are up to date, join the movement for coconuts 4 Ayiti as a solution for today, tomorrow and generations to come.

#Kokoyepouayiti #kokoye4ayiti #coconuts4ayiti

https://www.ayitisolutions.org/kokoye"
EducareHaiti,Providing education and resources to poor children ,"Organization in Haiti, that can help",Education,This organization is IN Haiti,,Providing supplies to those in need. ,educarenow.org,mailto:Info@educarenow.org,509 3180-3223,,Les cayes,"210N.2nd st. apt.208 Minneapolis,MN 55401",Sud,Les Cayes,Les Cayes,,instagram.com/educarehaiti,,
Fokal,"Promote the structures necessary for the establishment of a just and durable democratic society, based on individual and collective autonomy and responsibility;","Organization in Haiti, in need",,This organization is IN Haiti,Contributions to its relief fund,,https://www.fokal.org/index.php/en/,,(509) 2813-1694,,"143, Avenue Christophe BP 2720 HT 6112 
Port-au-Prince,Haïti ",n/a,,,,,,,
Fonkoze,Micro-finance and Development Services.,"Organization in Haiti, that can help",Financing,This organization is IN Haiti,,On the ground coordination of efforts,fonkoze.org,fundnotice@fonkoze.ht,(202) 628-9033,,"119 Avenue Christophe
Port-au-Prince, Haiti","1900 L Street NW, Ste 304
Washington, DC 20036",,,,,,,"If you donate (give.fonkoze.org), 100% of the proceeds will benefit the response effort, including collaborating with partners to distribute tarps, hygiene kits, and other essential supplies to our clients and their communities, while planning for longer-term clients' longer-term recovery."
Fontaine Hospital Center,"The Center Hospitalier de Fontaine, founded and directed by Mr. Jose Ulysse, and based in Cité-Soleil, remains operational 24 hours a day every day to provide health care to the most disadvantaged people in this disadvantaged area.","Organization in Haiti, that can help",Health / Medical,This organization is IN Haiti,,,centrehfontaine.com,,,,,,,,,,,,
Goodoo Courier ,Local grocery and small package delivery.,"Organization in Haiti, that can help",Food,This organization is IN Haiti,,We can help with grocery purchase and delivery in Haiti. ,shipgoodoo.com/food_delivery,ship.goodoo@gmail.com,(214) 405-6634,(214) 405-6634,We cover all the country. ,"Plano, Texas",,,,Shipgoogoo,instagram.com/Shipgoogoo,twitter.com/Shipgoogoo,"Supporting the Haitian economy is the core of our business model. With our food delivery service, we partner with farmers in Haiti to bring Haitian-growns products to your friends families’ table in Haiti. Ordering one our packages is supporting the Haitian economy."
Haiti Development Institute ,"With the support of its donor partners, HDI channels financial resources to credible nonprofits and projects, and builds the capacity of local organizations so they can effectively address health, education, and economic development problems in their communities.","Organization in Haiti, that can help",,This organization is IN Haiti,,Receive and release contributions to its relief fund,https://www.hdihaiti.org/,,(US) 617.338.5883; (HT) 509.4047.0365,,"130 Route Coloniale 

Corail, Arcahaie","75 Arlington St., Suite 710 

Boston, MA 02116",,,,,instagram.com/haitidevinst,twitter.com/haitidevinst,
Haitian Nurses Network,"Haitian Nurses Network and Healthcare Professionals is a global platform meant to connect and empower Healthcare Professionals in every corner of the world. We desire to build communities, to share ideas, and to inspire our fellow health care professionals. We provide Healthcare Professionals the opportunity to unite as a group and to become effectively involved with the issues and services relevant to the Health and Welfare of Communities in the USA and abroad.","Organization in Haiti, that can help",Health / Medical,This organization is NOT in Haiti,,Collecting Medical Supplies for Haiti ,myhnn.org,,(347) 636-6231,,"US Address:
1214 E 88th Street Brooklyn, NY 11236 US",,,,,,,,"Collecting Medical supplies
1.  8/15/2021 at 1817 Flatbush Avenue, Brooklyn, NY 11210 11AM-3PM EST
2. 8/16/2021 12PM - 4PM EST
3. 8/17/2021 12PM - 4PM EST
"
